Geneid,Tissue_1,Tissue_2,Tissue_3,Tissue_4,Tissue_5
ID-0001,652.2192711,1464.364113,611.5030416,614.7068181,875.5233005
ID-0002,380.3702612,788.1285693,272.642312,282.2161939,633.1405533
ID-0003,1293.372516,378.8541311,188.4191794,235.8135939,263.9216579
ID-0004,1548.364544,195.3481069,110.5821965,85.74641457,130.4372147
ID-0005,0,0,0,0,0
ID-0006,0,0,0,0,0
ID-0007,617.6713913,1778.943001,1226.161414,1467.57776,1599.054751
ID-0008,55.65775813,100.0386571,64.05008409,53.58592375,75.5502679
ID-0009,2440.737862,4630.170539,11060.82158,25568.46586,8814.438645
ID-0010,209.9868458,281.5438348,239.594759,464.0152865,163.7876389
ID-0011,1017.229511,1506.111335,1298.855799,805.9212871,2100.082063
ID-0012,1892.481771,2674.539894,2786.298602,1560.321066,3761.703016
ID-0013,409.689799,570.4743279,500.5819072,290.1194478,861.453368
ID-0014,84.8518275,324.3384977,104.5504403,172.8056929,147.408875
ID-0015,80.26524223,547.4125264,181.3149528,185.5196253,150.3773632
ID-0016,14.62962543,1646.740181,528.7608475,443.0490786,433.057175
ID-0017,9563.508057,10227.78366,14230.93037,10344.00744,16850.85767
ID-0018,8698.458965,9047.373085,14422.30939,9290.252004,15348.80264
ID-0019,24.62218209,69.68209911,12.83543352,73.07383592,8.516269038
ID-0020,114.5678683,258.7352203,160.7407877,271.8064227,249.5230894
ID-0021,260.0297939,134.8685789,69.55976874,127.746144,69.22902572
ID-0022,219.4443815,83.29814147,49.57132945,66.76082006,71.2625731
ID-0023,3946.596628,7784.948934,2891.853022,6575.658489,6172.116472
ID-0024,2240.770962,4901.775248,2730.554064,4594.358253,3930.404993
ID-0025,8050.005178,893.5704475,639.5065994,489.1925865,967.8489283
ID-0026,211107.2576,52273.32794,9084.394055,16362.17759,53856.47497
ID-0027,24582.07355,5662.012132,1099.31713,1766.960172,6698.574386
ID-0028,0,0,0,0,0
ID-0029,0,0,0,0,0
ID-0030,0,0,0,0,0
ID-0031,0,0,0,0,0
ID-0032,28115.39329,9187.798081,4573.815053,2829.742203,10472.5777
ID-0033,1445.623728,1644.841648,683.2887572,801.8041924,936.1587594
ID-0034,2065.957539,856.3828993,3614.755712,2540.605437,6192.932105
ID-0035,1827.767563,9074.878024,5039.847896,8620.19096,7073.256568
ID-0036,8.338816917,9.824936343,6.317696735,8.489926286,7.09678701
ID-0037,34.21444657,62.93867017,28.98323698,38.32384319,80.76719668
ID-0038,2134.693344,3444.496184,1785.611467,1211.66097,1701.819489
ID-0039,275.7684394,981.1239555,610.9666355,707.5433093,524.6021727
ID-0040,164.4004158,250.8555568,269.5441039,244.2080452,137.1119315
ID-0041,2222.10974,8483.278126,2739.920264,3314.48543,4599.122558
ID-0042,1286.463191,2112.94107,1692.621039,1984.323436,1630.728162
ID-0043,84.8518275,419.7321735,245.2322827,229.8428661,168.3215527
ID-0044,199.7197951,178.8549674,160.9708847,169.409603,233.6602664
ID-0045,0,0,0,0,0
ID-0046,125.4099337,129.7226499,348.0904989,136.1554289,248.9535754
ID-0047,0,0,0,0,0
ID-0048,0,11.61368319,44.92401731,44.00144958,14.90347082
ID-0049,1126.481158,2441.2763,669.2129476,987.7566786,1854.197335
ID-0050,433.2595142,386.9981686,292.8769878,286.6049064,395.6233716
ID-0051,1576.829794,826.8942428,287.5137108,519.2171051,476.9110661
ID-0052,0,33.78526018,21.78134173,64.00210849,14.45185049
ID-0053,789.2132342,1516.522243,649.2245083,902.7394173,728.1867891
ID-0054,878.1177497,194.4616719,117.0113939,147.3536916,149.7278928
ID-0055,52.21650923,60.03380847,55.29109823,138.0968572,51.35965327
ID-0056,284.1735732,1178.021902,718.784277,1075.959975,818.8473022
ID-0057,3011.642328,0,30.37116663,7.436864718,94.03880177
ID-0058,2006.974363,587.4993746,292.6786278,309.8545192,348.4020962
ID-0059,361.0716064,361.7538763,711.1376358,702.1507912,755.954775
ID-0060,545.4760339,1598.042806,4524.918163,2328.305275,2116.576731
ID-0061,0,21.44064588,49.76198841,0,14.67418665
ID-0062,104.971333,3517.150075,5476.09877,4910.017426,855.4899536
ID-0063,163.1765913,4188.072829,4404.857493,4657.384202,709.2523547
ID-0064,16456.66795,20291.42726,10571.95685,59708.77786,11824.81654
ID-0065,596.7601055,894.3812282,2266.935028,1189.489736,691.7830849
ID-0066,7.643215802,11.19933438,13.36836306,11.81286709,9.984950242
ID-0067,0,0,0,0,0
ID-0068,326.9767875,834.4098493,1968.644835,1146.840329,1388.206097
ID-0069,31.72030934,36.46913599,67.17610066,167.7812283,22.28556384
ID-0070,4623.887562,7119.922836,13975.34999,4237.506689,7829.793073
ID-0071,275.6256671,382.6961618,504.6512352,208.1768901,437.2107117
ID-0072,3773.198287,5052.693485,6996.676739,2999.58818,5251.095249
ID-0073,37.36310278,100.2202155,93.26591192,81.99540579,126.9940358
ID-0074,1171.054461,2526.485465,2320.286087,2636.999154,1648.271579
ID-0075,36.10716064,723.5077525,474.0917572,168.5161899,847.2781706
ID-0076,176.0224081,426.9881818,519.9716047,454.9937127,182.6467913
ID-0077,20.69556768,47.58777501,122.7192668,77.27083829,52.3438975
ID-0078,0,0,0,0,0
ID-0079,6.842889314,926.0975753,533.2915604,161.8117823,361.5293566
ID-0080,172.5799881,831.4609793,1120.816161,241.6350791,113.1653377
ID-0081,483.1840177,735.5332684,549.0713227,748.0246429,410.673418
ID-0082,6276.082515,2759.71742,1961.517533,2163.324016,6302.039088
ID-0083,13384.92445,6160.490601,5523.933635,5390.271194,14581.30217
ID-0084,1653.646411,943.8757062,735.1202833,576.0189764,1734.222059
ID-0085,0,0,0,0,0
ID-0086,23.33425256,72.46938308,212.0413617,176.8858273,19.07644264
ID-0087,17898.81666,10809.81433,4396.04297,4270.053716,5481.021383
ID-0088,7712.813551,3694.937974,1262.480076,1732.980168,1791.47362
ID-0089,1913.559335,597.864164,204.1517473,212.4567033,360.5052585
ID-0090,2877.217722,820.7002785,313.7550416,234.6743978,418.243435
ID-0091,2060.687239,2455.464445,984.0499031,2269.217614,914.0795434
ID-0092,4.462714286,9.92144929,11.99515726,11.2723078,8.89009133
ID-0093,13.25996339,15.19328304,10.58969057,22.00028259,8.214836968
ID-0094,0,0,0,0,0
ID-0095,251.2919507,355.9147216,127.1695259,190.8985967,260.466813
ID-0096,89.9943625,185.818931,98.01603778,152.0050077,79.48517768
ID-0097,20.65681194,48.02062261,48.45736699,59.32779719,25.00657275
ID-0098,32.99793292,210.5947884,119.7973795,187.7395182,121.8772724
ID-0099,17.67746406,98.71630708,74.87336219,154.0050735,24.83911803
ID-0100,1.697256437,2.302346574,3.259687046,2.93333495,2.232310228
ID-0101,8355.372118,956.8288237,396.9405709,161.5575612,466.2339527
ID-0102,0,37.16378619,55.90544377,17.60057983,26.49505923
ID-0103,284.34389,438.8489646,405.271986,685.2991722,319.6318847
ID-0104,8038.296458,3664.349319,2357.612429,154.8851025,2785.160626
ID-0105,762.5198011,527.3239933,262.2591281,21.40611061,264.2345096
ID-0106,102.5292916,213.6917706,83.85816565,237.6078278,99.3564721
ID-0107,520.1168506,597.1085313,288.716697,393.251449,333.2391131
ID-0108,236.8436933,259.7856899,160.5052269,274.2614625,155.1118516
ID-0109,1672.08013,3246.366029,3001.981392,2801.598178,2451.883952
ID-0110,1607.814671,2215.472061,1591.814107,1284.917867,2380.461673
ID-0111,3603.583785,7439.639422,4374.822822,10729.83497,8602.062563
ID-0112,4.465885658,64.54762865,0,22.23231137,15.06034946
ID-0113,2007.072073,4216.660357,2202.428746,3195.182185,3234.435307
ID-0114,649.8572503,791.9425868,1317.771175,1160.800146,915.9720476
ID-0115,558.4635585,972.7052203,440.0720063,657.3277775,856.4933432
ID-0116,73.60253218,96.71030726,66.43309227,79.20260925,72.25925244
ID-0117,60.4021801,17.39088123,13.86197698,10.18297869,16.77168809
ID-0118,484.8675857,1187.91388,984.0499031,1313.757566,880.0144672
ID-0119,18.18253446,47.78201082,46.20756067,15.08621129,20.43904569
ID-0120,959.6337634,1632.552036,975.4929474,1769.486865,1745.835153
ID-0121,3988.933795,9072.683042,8146.221806,9688.700137,10527.3702
ID-0122,9121.571456,20223.29365,23693.2595,25344.83496,23660.08789
ID-0123,19081.9081,1979.932747,3536.088167,576.5707187,2307.811021
ID-0124,42.42591375,17.15251671,0,4.061672269,11.00563999
ID-0125,264.4732286,21.71909583,18.66972148,3.428684383,37.16190125
ID-0126,0,0,0,0,0
ID-0127,58656.29238,5043.039359,1376.276872,1051.941632,3501.044803
ID-0128,1861.674424,823.7048134,525.6780533,890.5368005,434.2026124
ID-0129,39.35799598,81.3765974,68.80475578,88.40388086,87.88481812
ID-0130,958.3265223,85.25809774,135.3005698,24.84787741,56.10718425
ID-0131,0,0,0,0,0
ID-0132,22.627154,0,9.58379036,0,0
ID-0133,0,0,0,0,0
ID-0134,47930.72883,3114.547156,1315.983154,746.0544288,1789.009671
ID-0135,1441.568682,2763.307328,1151.600616,1629.473036,1846.107353
ID-0136,68.42889314,1558.481357,1143.871753,1107.133248,2287.121887
ID-0137,121.6867294,2925.56782,4596.87619,2374.031698,4909.596091
ID-0138,191.6009008,305.7021122,162.3061271,153.2953727,117.9457475
ID-0139,746.696082,2779.851207,2242.606944,2464.081177,4540.193349
ID-0140,0,0,0,0,0
ID-0141,0,0,0,0,0
ID-0142,6801.002537,33574.1023,21269.4802,21872.72057,28419.56398
ID-0143,2121.295687,9294.900143,5531.070501,4306.524853,6697.049013
ID-0144,964.2253125,3796.234689,2197.935393,1383.318299,1868.230127
ID-0145,156.6207741,67.7788876,39.89727705,26.05195958,41.17822421
ID-0146,175.7032792,101.3557805,79.86491967,122.6707079,134.8839379
ID-0147,770.9098962,448.6847358,214.7587169,379.9149549,191.9276242
ID-0148,5084.480601,17102.6002,45581.03107,20984.56632,25157.05874
ID-0149,1463.694024,2668.824396,1832.899906,3022.899586,2426.285049
ID-0150,51.59908429,37.66599952,233.119225,306.8209187,51.55795309
ID-0151,4.88394453,12.19987668,10.36576946,12.95830166,4.524772923
ID-0152,1660.37218,1348.907795,1410.946914,1395.00892,1801.664027
ID-0153,87.1246443,238.9100541,134.7720519,94.28882054,153.2928427
ID-0154,514.455962,250.1971433,118.8540931,170.4623086,251.5987514
ID-0155,351.1110103,605.513413,235.4638149,182.0749638,320.6815789
ID-0156,7.766080037,102.8334197,67.35669296,33.67427548,48.73643674
ID-0157,6406.741521,2809.807471,1060.025297,2197.405725,2745.851593
ID-0158,26355.80544,2032.677818,631.1276579,2086.312634,529.2549636
ID-0159,3537.484639,946.1062471,976.9391934,1003.976737,1118.390035
ID-0160,552.1180556,962.1856974,300.3139788,542.483625,503.0431793
ID-0161,4526.084764,5196.915119,6856.287942,3639.047052,5975.998896
ID-0162,139.9617773,298.8428168,281.5855931,419.147829,176.9979214
ID-0163,183.4634108,617.7223922,485.665052,535.1527652,541.3585075
ID-0164,195.2938887,371.6378619,399.3245983,134.0996559,386.070863
ID-0165,10.83624701,11.97073995,10.26737545,12.28760564,9.925308348
ID-0166,1158.339092,2171.147509,6331.922019,1604.894977,4226.310566
ID-0167,73.4294661,150.0845212,649.6704042,81.23344539,513.5965327
ID-0168,9.866491569,241.9967473,111.4394228,16.3726324,181.1522654
ID-0169,0,0,0,0,0
ID-0170,5.733231588,52.73239933,0,28.54148081,45.11320896
ID-0171,62.17590808,158.5868463,49.57132945,113.7968524,86.33734817
ID-0172,13.05412731,38.59316259,27.64554912,69.04842858,3.668546662
ID-0173,230.332106,2920.208893,1554.993708,7982.995665,541.8370776
ID-0174,0,9.36902173,6.040204009,39.9340887,4.007656018
ID-0175,24.95641985,192.0649455,78.52265211,554.6401208,40.07656018
ID-0176,71.22598658,305.1770764,125.9184135,177.2905122,177.5362363
ID-0177,36.36506893,743.2757239,362.8149208,522.9886579,467.8270458
ID-0178,1.820333828,45.92321406,20.14898717,29.75384062,18.68902061
ID-0179,0.7419911,24.55145479,8.524348701,1.287444516,1.287640701
ID-0180,174.588347,60.42997268,30.29972718,35.17664632,43.61721449
ID-0181,799.3288097,1947.059233,3234.529247,4595.281822,3950.067743
ID-0182,719.5038004,1176.853229,1614.112061,2254.109347,2953.501866
ID-0183,216.6429638,421.0577904,298.2190086,322.989364,192.7938352
ID-0184,67.70092619,142.3293939,168.2261074,264.0086975,60.88226376
